#	Parameters for specific FRBs
#	Required by the analysis scripts	********No strings, only numerics!*********		
#
#	DO NOT remove the first (dummy) entry!
#
#FRBname		f_centre(MHz)	tres/ms		DM_structure	Location(ms)	we(ms)	w(ms)	start(ms)	end(ms)	w95(ms)	start95(ms)	end95(ms)	rm(rad/m2)	phi0(deg)	ref_time (ms)
000000			0.0				0.0			0.0				0				0.0		0.0			0.0		0.0		0.0		0.0			0.0			0.0			0.0			0.0
181112			1297.5			0.0			-1				0000			0.0		0.0			0.0		0.0		0.0		0.0			0.0			13.09		0.0			5.001
210912			1271.5			0.003		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			0.0			0.0			149.955
230708			919.5			0.030		-1				2125			0.0		0.0			0.0		0.0		0.0		0.0			0.0			-5.74		0.0			150.857
000000			-1				-1			-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			0.0			0.0			0.0
180924			1320.0			0.030		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			18.84		0.0			100.236
190102			1271.5			0.003		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			-106.82		0.0			103.973
190608			1271.5			0.305		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			353.11		0.0			106.971
190611			1271.5			0.003		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			51.96		0.0			101.175
190711			1271.5			0.003		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			6.0			0.0			103.290
190714			1271.5			0.019		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			nan			0.0			107.390
191001			919.5			0.190		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			53.36		0.0			109.714
191228			1271.5			0.190		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			14.69		0.0			109.143
200430			863.5			0.305		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			194.63		0.0			103.314
200906			863.5			0.0019		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			74.93		0.0			108.886
210117			1271.5			0.019		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			-45.13		0.0			107.810
210320			863.5			0.030		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			289.13		0.0			102.796
210407			1271.5			0.019		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			-10.15		0.0			106.354
211127			1271.5			0.019		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			-74.70		0.0			102.952
211203			919.5			0.190		-1				-1				0.0		0.0			0.0		0.0		0.0		0.0			0.0			34.16		0.0			111.619
